Name	Set	ImageFile	Rarity	Race	Type	Traits	Cost	Tech Req	Cosmic	Combat	Life	Influence	Guns	Shields	Power	Resources Produced	Structure	Tech Value	Text
Abesu	Prime	Abesu	U		Planet	Restricted	3		4							1	6	2	
Academy	Prime	Academy	C		Support	Installation	3		0							0	0	0	Limited Any-2 R-->discard and draw
Advanced Technology	Prime	Advanced_Technology	F		Advantage														need 3 less Tech to achieve a Transcendent Victory
Agro Planet	Prime	Agro_Planet	R		Planet	Restricted	6		3							3	6	1	
Akhnaar Kraag	Prime	Akhnaar_Kraag	U		Planet	Restricted	6		3							1	10	2	issue 1 command to have player discard random card from hand
Albert McScott	Prime	Albert_McScott	R	H	Hero	"Engineer, Human, Mechanic, Unique"	5		2	0	2	3							Any: ship gains 1 energy (not exceed max)
Alchemist	Prime	Alchemist	R	S	Hero	"Researcher, Restricted, Scientist, Soven, Voicing"	3		0	0	1	2							controlled ships have +1 structure
Ambassador's Aide	Prime	Ambassador's_Aide	C		Support	"Diplomat, Gear"	2		1		1	1							
Ancient Allies	Prime	Ancient_Allies	F	S	Fate														"until end of next turn, deploy Orinn and Voicing cards -2 resources (0 minimum)"
Ancient Ruins of Pellapolonia	Prime	Ancient_Ruins_of_Pellapolonia	U		Planet	"Mineral, Restricted"	4		3							1	4	6	
Andrew Masters	Prime	Andrew_Masters	R	H	Hero	"Assassin, Human, Spy, Unique"	6		3	3	6	5							Assassin/Spy: can't redirect hero combats initated by Andrew Masters.  Return to Homeworld after combat
Aranaugh	Prime	Aranaugh	R	S	Hero	"Orinn, Unique, Voicing"	9		4	5	7	4							Combat: inflict +3 piercing damage to target ship at location
Arcadius Prime	Prime	Arcadius_Prime	F	D	Planet	"Forest, Homeworld, Restricted"	4						3	3	3	2	12	1	Limited Main: issue 1 command to draw a card
Archaeology Hoax	Prime	Archaeology_Hoax	U		Tactical		2		2										cancels action that would increase Tech
Archaeology Student	Prime	Archaeology_Student	C		Hero	"Explore 1, Human"	1		2	0	1	0							
Assassination Attempt	Prime	Assassination_Attempt	F		Fate														"CV >+ Hero's Influence, inflict 5 damage on that Hero"
Assassin's Favorite Weapon	Prime	Assassin's_Favorite_Weapon	U		Support	"Gear, Weapon"	3		0										attach to Assassin/Spy- +2 damage during Hero combat
Assembly Line	Prime	Assembly_Line	R		Support	"Fixed, Installation"	4	5	2							1			attach to Homeworld for +1 max hand size
Back Alley Payoff	Prime	Back_Alley_Payoff	C		Tactical	Propaganda	0		1										opponent's resource cost for military card +2
Barren Satellite	Prime	Barren_Satellite	U		Planet	"Desert, Restricted"	2		3							1	6	1	desert
